Age (Ma),SL (compared to present)
168.36,98.56
168.42,98.56
168.48,98.56
168.54,98.56
168.6,98.56
168.66,98.56
168.72,98.55
168.78,98.55
168.84,96.65
168.9,96.65
168.96,96.17
169.02,95.69
169.08,95.22
169.14,94.74
169.2,94.74
169.32,92.83
169.44,92.83
169.57,90.93
169.69,90.93
169.81,90.93
169.93,90.92
170.05,89.02
170.17,90.92
170.3,90.92
170.42,90.92
170.54,90.91
170.66,92.81
170.78,92.81
170.9,92.81
171.03,94.71
171.15,92.8
171.27,92.8
171.39,90.9
171.51,88.05
171.63,87.57
171.76,87.09
171.88,84.24
172,79.49
172.12,79.48
172.24,77.58
172.36,74.73
172.49,74.25
172.61,73.77
172.73,71.87
172.85,71.87
172.97,71.87
173.09,69.96
173.22,69.96
173.34,69.96
173.46,69.96
173.58,69.96
173.7,69.96
173.82,69.95
173.95,71.85
174.07,71.85
174.19,71.85
174.31,75.65
174.43,77.54
174.55,78.49
174.68,79.44
174.8,81.34
174.92,82.29
175.04,83.24
175.16,85.14
175.28,85.13
175.41,88.69
175.53,90.58
175.65,90.58
175.77,90.57
175.89,90.56
176.01,90.55
176.14,88.64
176.26,88.64
176.38,88.63
176.5,88.62
176.55,86.71
176.59,86.7
176.64,84.8
176.68,84.79
176.73,82.88
176.77,80.97
176.82,80.96
176.86,78.1
176.91,75.23
176.95,73.33
177,73.32
177.04,71.41
177.09,68.55
177.13,65.68
177.18,63.77
177.22,60.92
177.27,58.05
177.31,58.04
177.36,56.13
177.4,54.22
177.45,51.36
177.49,48.5
177.54,46.59
177.58,46.58
177.63,44.67
177.67,41.81
177.72,38.94
177.76,38.93
177.81,37.03
177.85,35.12
177.9,35.11
177.94,33.2
177.99,30.34
178.03,29.38
178.08,28.42
178.12,25.56
178.17,25.08
178.21,24.6
178.26,23.64
178.3,22.68
178.35,22.19
178.39,21.71
178.44,21.7
178.48,21.22
178.53,20.74
178.57,20.25
178.62,19.77
178.66,19.76
178.71,19.76
178.75,19.75
178.8,19.74
178.84,20.69
178.89,21.63
178.93,21.62
178.98,23.52
179.02,24.47
179.07,25.41
179.11,29.21
179.16,30.16
179.2,31.1
179.25,34.9
179.29,40.6
179.34,40.6
179.38,40.59
179.43,44.38
179.47,45.33
179.52,46.28
179.56,46.27
179.61,46.27
179.65,46.26
179.7,46.25
179.74,46.24
179.79,46.24
179.83,46.23
179.88,46.22
179.92,44.31
179.97,44.3
180.01,44.3
180.06,44.29
180.1,44.28
180.24,45.23
180.37,46.17
180.51,46.16
180.64,47.11
180.78,48.06
180.91,51.85
181.05,55.65
181.19,56.6
181.32,57.54
181.46,61.34
181.59,61.34
181.73,61.33
181.86,63.22
182,63.21
182.14,61.3
182.27,61.3
182.41,61.29
182.54,61.28
182.68,59.38
182.81,63.17
182.95,63.17
183.09,63.16
183.22,66.96
183.36,66.95
183.49,67.9
183.63,68.84
183.76,68.83
183.9,68.35
184.04,67.87
184.17,67.38
184.31,66.9
184.44,63.09
184.58,62.13
184.71,61.17
184.85,61.16
184.99,64.96
185.12,64.96
185.26,64.95
185.39,66.84
185.53,67.79
185.66,68.74
185.8,68.73
185.94,68.73
186.07,68.72
186.21,68.71
186.34,68.7
186.48,66.79
186.61,64.88
186.75,64.87
186.89,61.06
187.02,57.25
187.16,53.43
187.29,49.62
187.43,43.9
187.56,38.18
187.7,33.42
187.84,28.65
187.97,24.84
188.11,24.83
188.24,22.92
188.38,21.01
188.51,21
188.65,19.09
188.79,19.08
188.92,19.08
189.06,19.07
189.19,19.06
189.33,20.96
189.46,21.91
189.6,22.85
189.67,24.74
189.74,25.69
189.81,26.64
189.89,28.53
189.96,29.48
190.03,30.42
190.1,32.32
190.17,36.11
190.24,37.06
190.31,38.01
190.38,38
190.46,36.09
190.53,36.08
190.6,34.17
190.67,34.17
190.74,34.16
190.81,34.15
190.88,37.95
190.95,37.95
191.03,37.94
191.1,41.73
191.17,41.25
191.24,40.77
191.31,36
191.38,28.39
191.45,28.38
191.52,30.28
191.6,32.17
191.67,37.87
191.74,41.67
191.81,43.57
191.88,45.47
191.95,45.46
192.02,46.41
192.09,47.35
192.17,47.34
192.24,45.43
192.31,45.42
192.38,45.42
192.45,45.41
192.52,45.4
192.59,43.49
192.66,43.48
192.74,43.48
192.81,43.47
192.88,43.46
192.95,43.45
193.02,44.4
193.09,45.35
193.16,49.14
193.23,49.14
193.31,49.13
193.38,51.03
193.45,51.03
193.52,51.02
193.59,51.01
193.66,51
193.73,49.09
193.8,48.61
193.88,48.13
193.95,45.26
194.02,45.25
194.09,43.34
194.16,41.43
194.23,38.58
194.3,37.62
194.37,36.66
194.45,33.79
194.52,31.88
194.59,31.87
194.66,29.96
194.73,27.1
194.8,26.14
194.87,25.19
194.94,22.32
195.02,21.84
195.09,21.36
195.16,18.49
195.23,18.48
195.3,18.48
195.39,18.47
195.49,18.46
195.58,16.55
195.68,18.45
195.77,18.45
195.87,18.44
195.96,18.43
196.05,19.38
196.15,20.32
196.24,22.21
196.34,22.21
196.43,22.2
196.53,24.1
196.62,25.99
196.71,26.94
196.81,27.88
196.9,29.78
197,29.78
197.09,29.77
197.19,31.66
197.28,29.75
197.37,29.74
197.47,28.78
197.56,27.83
197.66,26.39
197.75,24.96
197.85,22.09
197.94,20.19
198.03,17.33
198.13,14.46
198.22,9.7
198.32,6.83
198.41,4.92
198.51,2.06
198.6,1.1
198.69,0.14
198.79,-0.34
198.88,-0.82
198.98,-0.83
199.07,-0.84
199.17,-0.84
199.26,1.05
199.35,2
199.45,2.95
199.54,4.84
199.64,6.73
199.73,6.73
199.83,6.72
